dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,station zone,casual,registered,cnt
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,Arlington 2,10,31,41
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,DC Ward 1,51,190,241
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,DC Ward 2,187,223,410
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,DC Ward 3,11,11,22
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,DC Ward 4,3,22,25
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,DC Ward 5,1,13,14
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,DC Ward 6,67,138,205
2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,DC Ward 7,0,1,1
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,Arlington 2,4,16,20
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,DC Ward 1,20,204,224
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,DC Ward 2,77,205,282
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,DC Ward 3,5,19,24
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,DC Ward 4,2,30,32
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,DC Ward 5,0,16,16
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,DC Ward 6,21,159,180
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,DC Ward 7,1,1,2
2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,DC Ward 8,0,1,1
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,Arlington 2,6,59,65
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,DC Ward 1,13,291,304
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,DC Ward 2,76,505,581
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,DC Ward 3,0,24,24
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,DC Ward 4,1,25,26
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,DC Ward 5,0,25,25
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,DC Ward 6,23,250,273
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,DC Ward 7,1,1,2
2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,DC Ward 8,0,1,1
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,Arlington 2,6,64,70
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,DC Ward 1,12,311,323
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,DC Ward 2,68,615,683
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,DC Ward 3,0,26,26
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,DC Ward 4,0,34,34
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,DC Ward 5,1,30,31
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,DC Ward 6,20,346,366
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,DC Ward 7,0,2,2
2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,DC Ward 8,0,1,1
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,Arlington 2,0,67,67
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,DC Ward 1,13,363,376
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,DC Ward 2,44,646,690
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,DC Ward 3,0,33,33
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,DC Ward 4,0,34,34
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,DC Ward 5,1,24,25
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,DC Ward 6,24,318,342
2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,DC Ward 7,0,4,4
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,Arlington 2,2,67,69
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,DC Ward 1,12,337,349
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,DC Ward 2,54,622,676
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,DC Ward 3,2,38,40
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,DC Ward 4,1,42,43
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,DC Ward 5,1,24,25
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,DC Ward 6,16,347,363
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,DC Ward 7,0,4,4
2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,DC Ward 8,0,4,4
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,Arlington 2,2,56,58
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,DC Ward 1,21,313,334
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,DC Ward 2,109,565,674
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,DC Ward 3,1,30,31
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,DC Ward 4,0,29,29
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,DC Ward 5,0,23,23
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,DC Ward 6,15,326,341
2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,DC Ward 7,0,3,3
2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,Arlington 2,2,29,31
2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,DC Ward 1,20,274,294
2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,DC Ward 2,30,323,353
