,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,station zone,casual,registered,cnt
0,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,Arlington,10,31,41
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,Washington NE,26,56,82
2,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,Washington NW,259,478,737
3,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,Washington SE,22,46,68
4,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,Washington SW,13,18,31
5,2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,Arlington,4,16,20
6,2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,Washington NE,10,64,74
7,2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,Washington NW,108,490,598
8,2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,Washington SE,6,62,68
9,2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,Washington SW,2,19,21
10,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,Arlington,6,59,65
11,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,Washington NE,8,109,117
12,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,Washington NW,97,899,996
13,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,Washington SE,5,59,64
14,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,Washington SW,4,55,59
15,2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,Arlington,6,64,70
16,2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,Washington NE,6,132,138
17,2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,Washington NW,86,1067,1153
18,2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,Washington SE,3,103,106
19,2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,Washington SW,6,63,69
20,2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,Arlington,0,67,67
21,2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,Washington NE,14,130,144
22,2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,Washington NW,59,1138,1197
23,2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,Washington SE,3,94,97
24,2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,Washington SW,6,60,66
25,2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,Arlington,2,67,69
26,2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,Washington NE,4,148,152
27,2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,Washington NW,72,1106,1178
28,2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,Washington SE,7,94,101
29,2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,Washington SW,3,70,73
30,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,Arlington,2,56,58
31,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,Washington NE,5,139,144
32,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,Washington NW,133,1012,1145
33,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,Washington SE,3,89,92
34,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,Washington SW,5,49,54
